Actual_Close,Predicted_Close
2621.58,2502.851199999996
2760.81,2775.8532
3294.27,3293.2494999999994
3342.73,3360.738699999999
2800.6,2790.3636000000006
2727.7,2720.6485000000034
2823.28,2868.320199999998
3221.46,3196.410100000004
3331.18,3321.535900000005
3077.42,3124.9418999999975
2815.48,2776.994499999999
3213.55,3197.0359000000044
2867.31,2769.121799999998
3072.66,3094.8232000000007
3104.19,3107.8167999999987
2853.67,2836.977400000001
2709.35,2722.6978
2701.73,2605.276400000003
3317.99,3298.437399999999
3260.88,3239.4112
3113.5,3126.954900000001
3262.59,3221.1584999999986
2784.55,2729.460299999998
2744.28,2788.6295999999998
3196.89,3195.339399999999
3138.88,3095.3885999999998
2791.49,2764.6707
2716.47,2729.9339
3236.89,3263.8140000000026
2829.49,2791.718300000001
3307.36,3309.2767000000017
3243.39,3253.4158000000007
3141.19,3171.312900000003
3328.08,3338.074699999997
2765.29,2712.9296000000004
3272.25,3264.7345000000005
3338.63,3324.6878000000033
3097.43,3101.4245000000005
3056.89,3104.8247999999994
3053.99,3105.812300000003
3113.18,3098.180900000002
3110.14,3101.636500000001
2694.4,2695.7931
3198.75,3195.002199999999
3111.11,3123.7954000000013
3184.42,3194.7992
2818.36,2788.7544
2695.07,2719.821300000003
3223.61,3218.7703
2758.32,2736.9320999999995
3109.22,3103.6904999999997
3315.94,3343.9909000000007
2770.5,2809.4506999999994
3077.46,3100.7505000000015
2713.68,2726.2751000000007
2829.32,2835.1270999999992
3140.66,3133.0444000000007
3084.63,3103.8938000000035
2950.58,2916.777100000001
3297.73,3326.522300000001
