timestamp,open,high,low,close
2025-02-01 20:00:00,3253.6,3261.68,3196.28,3196.28
2025-02-02 00:00:00,3194.48,3194.48,3114.86,3125.04
2025-02-02 04:00:00,3119.95,3157.56,3080.48,3084.47
2025-02-02 08:00:00,3074.39,3131.75,3074.39,3096.72
2025-02-02 12:00:00,3096.31,3115.47,3058.75,3065.67
2025-02-02 16:00:00,3064.07,3099.26,3052.08,3083.72
2025-02-02 20:00:00,3081.24,3081.24,2910.22,2955.87
2025-02-03 00:00:00,2958.21,2978.77,2810.13,2862.7
2025-02-03 04:00:00,2866.25,2866.25,2368.28,2532.55
2025-02-03 08:00:00,2529.69,2609.33,2460.55,2609.33
2025-02-03 12:00:00,2618.35,2618.35,2541.34,2586.04
2025-02-03 16:00:00,2585.89,2728.5,2549.35,2708.25
2025-02-03 20:00:00,2709.49,2773.86,2680.38,2773.86
2025-02-04 00:00:00,2770.8,2898.88,2706.92,2877.81
2025-02-04 04:00:00,2880.28,2885.26,2800.52,2805.59
2025-02-04 08:00:00,2811.37,2830.68,2677.89,2695.4
2025-02-04 12:00:00,2701.44,2786.74,2689.22,2768.7
2025-02-04 16:00:00,2764.45,2840.0,2758.77,2793.26
2025-02-04 20:00:00,2785.64,2868.11,2779.09,2790.81
2025-02-05 00:00:00,2781.44,2784.6,2633.94,2740.38
2025-02-05 04:00:00,2734.76,2754.0,2708.28,2725.35
2025-02-05 08:00:00,2723.48,2769.12,2713.98,2769.12
2025-02-05 12:00:00,2762.79,2805.4,2752.36,2803.27
2025-02-05 16:00:00,2798.32,2824.26,2769.29,2774.55
2025-02-05 20:00:00,2761.07,2778.16,2722.7,2773.85
2025-02-06 00:00:00,2776.52,2791.45,2748.96,2790.55
2025-02-06 04:00:00,2789.62,2819.01,2761.81,2810.46
2025-02-06 08:00:00,2807.87,2849.94,2807.87,2835.01
2025-02-06 12:00:00,2834.06,2854.63,2800.73,2814.54
2025-02-06 16:00:00,2807.23,2809.07,2701.56,2701.56
2025-02-06 20:00:00,2704.11,2720.93,2686.74,2695.38
2025-02-07 00:00:00,2692.25,2719.15,2672.5,2686.66
2025-02-07 04:00:00,2687.81,2731.49,2685.55,2713.35
2025-02-07 08:00:00,2718.7,2729.29,2678.21,2715.82
2025-02-07 12:00:00,2715.05,2758.6,2712.57,2758.6
2025-02-07 16:00:00,2762.39,2794.36,2727.34,2728.67
2025-02-07 20:00:00,2716.78,2721.2,2663.38,2665.75
2025-02-08 00:00:00,2657.99,2657.99,2572.32,2623.45
2025-02-08 04:00:00,2620.57,2660.07,2620.57,2642.17
2025-02-08 08:00:00,2642.91,2646.67,2604.17,2631.29
2025-02-08 12:00:00,2629.47,2629.47,2605.27,2609.23
2025-02-08 16:00:00,2616.08,2628.15,2595.14,2601.34
2025-02-08 20:00:00,2603.04,2645.4,2596.85,2632.83
2025-02-09 00:00:00,2637.74,2644.53,2628.75,2635.6
2025-02-09 04:00:00,2632.81,2683.22,2630.31,2681.21
2025-02-09 08:00:00,2680.11,2680.11,2652.35,2664.81
2025-02-09 12:00:00,2664.88,2672.33,2653.63,2659.62
2025-02-09 16:00:00,2656.84,2660.23,2617.91,2652.11
2025-02-09 20:00:00,2651.85,2663.14,2623.79,2623.99
2025-02-10 00:00:00,2625.53,2645.46,2541.3,2632.54
2025-02-10 04:00:00,2630.44,2650.33,2573.28,2630.08
2025-02-10 08:00:00,2628.96,2652.92,2625.12,2638.82
2025-02-10 12:00:00,2638.75,2659.35,2638.75,2655.41
2025-02-10 16:00:00,2656.47,2679.03,2637.98,2656.12
2025-02-10 20:00:00,2659.83,2689.72,2653.76,2671.55
2025-02-11 00:00:00,2672.26,2682.85,2654.88,2660.3
2025-02-11 04:00:00,2661.99,2711.06,2661.99,2676.23
2025-02-11 08:00:00,2679.12,2721.66,2678.57,2714.15
2025-02-11 12:00:00,2713.03,2717.44,2695.68,2707.57
2025-02-11 16:00:00,2707.89,2707.89,2639.83,2663.1
2025-02-11 20:00:00,2661.63,2667.06,2588.33,2596.37
2025-02-12 00:00:00,2589.77,2631.27,2589.77,2603.03
2025-02-12 04:00:00,2602.92,2619.16,2583.1,2589.5
2025-02-12 08:00:00,2590.4,2620.48,2584.72,2615.18
2025-02-12 12:00:00,2626.8,2633.76,2613.26,2625.34
2025-02-12 16:00:00,2626.99,2655.03,2565.92,2611.71
2025-02-12 20:00:00,2594.79,2679.41,2591.26,2678.44
2025-02-13 00:00:00,2675.14,2782.27,2672.21,2736.27
2025-02-13 04:00:00,2737.2,2754.38,2720.96,2744.2
2025-02-13 08:00:00,2743.01,2743.01,2680.18,2685.38
2025-02-13 12:00:00,2682.17,2684.9,2658.59,2658.59
2025-02-13 16:00:00,2657.16,2669.39,2628.77,2648.59
2025-02-13 20:00:00,2642.08,2657.77,2619.67,2640.82
2025-02-14 00:00:00,2641.03,2677.51,2641.03,2675.71
2025-02-14 04:00:00,2676.72,2718.98,2668.56,2718.98
2025-02-14 08:00:00,2716.09,2716.09,2691.38,2701.02
2025-02-14 12:00:00,2701.08,2715.61,2685.36,2686.39
2025-02-14 16:00:00,2685.23,2728.88,2681.62,2728.88
2025-02-14 20:00:00,2730.72,2785.5,2719.33,2732.72
2025-02-15 00:00:00,2737.95,2747.69,2714.51,2724.67
2025-02-15 04:00:00,2725.89,2737.02,2711.26,2727.05
2025-02-15 08:00:00,2725.97,2731.53,2698.24,2702.88
2025-02-15 12:00:00,2700.37,2712.36,2697.67,2709.07
2025-02-15 16:00:00,2707.85,2712.39,2685.26,2689.12
